IEEE 14 节点系统潮流计算报告
(牛顿-拉夫逊法, 收敛精度 1e-8, 迭代 5 次)
======================================================================

[节点结果]
节点  类型     U (pu)    δ (°)     P (MW)    Q (Mvar)  
1     slack  1.0600    0.000     232.39    -16.55    
2     PV     1.0450    -4.983    18.30     30.86     
3     PV     1.0100    -12.725   -94.20    6.08      
4     PQ     1.0177    -10.313   -47.80    3.90      
5     PQ     1.0195    -8.774    -7.60     -1.60     
6     PV     1.0700    -14.221   -11.20    5.23      
7     PQ     1.0615    -13.360   -0.00     -0.00     
8     PV     1.0900    -13.360   0.00      17.62     
9     PQ     1.0559    -14.939   -29.50    -16.60    
10    PQ     1.0510    -15.097   -9.00     -5.80     
11    PQ     1.0569    -14.791   -3.50     -1.80     
12    PQ     1.0552    -15.076   -6.10     -1.60     
13    PQ     1.0504    -15.156   -13.50    -5.80     
14    PQ     1.0355    -16.034   -14.90    -5.00     

[支路潮流 (MW/Mvar)]
支路      首端P      首端Q      末端P      末端Q      网损      
1→2    156.88   -11.51   -152.59  36.33    4.298   
1→5    75.51    12.15    -72.75   9.90     2.763   
2→3    73.24    10.73    -70.91   8.30     2.323   
2→4    56.13    4.02     -54.45   8.30     1.677   
2→5    41.52    6.84     -40.61   3.30     0.904   
3→4    -23.29   6.43     23.66    -2.85    0.373   
4→5    -61.16   15.82    61.67    -14.20   0.514   
5→6    44.09    12.47    -44.09   -8.05    0.000   
4→7    28.07    -9.68    -28.07   11.38    0.000   
4→9    16.08    -0.43    -16.08   1.73     0.000   
7→9    28.07    5.78     -28.07   -4.98    0.000   
6→11   7.35     3.56     -7.30    -3.44    0.055   
6→12   7.79     2.50     -7.71    -2.35    0.072   
6→13   17.75    7.22     -17.54   -6.80    0.212   
7→8    0.00     -17.16   0.00     17.62    0.000   
9→10   5.23     4.22     -5.21    -4.18    0.013   
9→14   9.43     3.61     -9.31    -3.36    0.116   
10→11   -3.79    -1.62    3.80     1.64     0.013   
12→13   1.61     0.75     -1.61    -0.75    0.006   
13→14   5.64     1.75     -5.59    -1.64    0.054   

总网损: 13.393 MW
