时间(h),节点,温度(°C),湿度(%RH),光照(lux),烟雾(ADC),电池(mV)
0.00,1,21.3,59.2,0,313,3900
0.02,1,21.3,60.5,0,327,3899
0.03,1,21.3,57.8,0,299,3899
0.05,1,21.0,57.4,0,300,3899
0.07,1,21.3,58.7,0,319,3899
0.08,1,21.0,58.4,0,335,3898
0.10,1,21.2,60.0,0,321,3898
0.12,1,21.1,59.1,10,332,3898
0.13,1,21.1,61.4,6,321,3898
0.15,1,21.2,59.8,0,341,3898
0.17,1,21.3,58.5,1,311,3897
0.18,1,21.4,60.4,0,329,3897
0.20,1,21.2,59.0,10,315,3897
0.22,1,21.2,60.9,0,325,3897
0.23,1,21.2,57.8,0,337,3897
0.25,1,21.2,59.9,0,319,3896
0.27,1,21.0,59.6,0,315,3896
0.28,1,21.2,61.8,0,323,3896
0.30,1,21.2,58.9,5,304,3896
0.32,1,21.2,57.9,2,334,3896
0.33,1,21.2,58.5,0,303,3895
0.35,1,20.9,60.2,0,307,3895
0.37,1,21.2,57.4,9,319,3895
0.38,1,21.1,58.1,8,319,3895
0.40,1,21.1,57.7,10,334,3895
0.42,1,21.1,58.9,0,341,3894
0.43,1,21.1,57.6,0,309,3894
0.45,1,21.2,61.0,0,310,3894
0.47,1,21.3,59.3,0,326,3894
0.48,1,21.1,58.0,0,312,3893
0.50,1,21.1,58.8,0,315,3893
0.52,1,21.1,60.8,5,311,3893
0.53,1,21.3,60.5,0,331,3893
0.55,1,21.3,58.8,12,332,3893
0.57,1,21.3,61.6,11,294,3892
0.58,1,21.0,59.4,6,288,3892
0.60,1,21.1,59.1,0,297,3892
0.62,1,21.0,57.5,4,326,3892
0.63,1,21.0,58.2,0,308,3892
0.65,1,21.2,61.9,0,318,3891
0.67,1,20.9,58.9,5,321,3891
0.68,1,21.3,59.5,0,290,3891
0.70,1,21.0,58.9,10,302,3891
0.72,1,21.3,59.7,0,320,3891
0.73,1,21.2,59.8,0,309,3890
0.75,1,20.9,59.4,0,345,3890
0.77,1,21.0,60.5,3,323,3890
0.78,1,21.1,58.3,0,337,3890
0.80,1,21.1,61.4,0,292,3890
0.82,1,21.2,60.7,5,323,3889
0.83,1,21.0,59.6,12,319,3889
0.85,1,21.0,61.5,4,314,3889
0.87,1,21.0,60.6,0,316,3889
0.88,1,20.8,59.3,0,308,3888
0.90,1,20.8,61.4,0,322,3888
0.92,1,20.9,60.2,16,316,3888
0.93,1,21.1,58.1,0,306,3888
0.95,1,21.3,60.0,4,317,3888
0.97,1,20.8,59.7,11,305,3887
0.98,1,21.0,60.0,0,324,3887
1.00,1,21.0,59.9,0,348,3887
1.02,1,21.0,57.7,3,298,3887
1.03,1,21.1,59.5,0,309,3887
1.05,1,21.4,60.0,0,319,3886
1.07,1,20.9,59.9,0,335,3886
1.08,1,21.0,60.3,0,314,3886
1.10,1,20.8,60.7,0,335,3886
1.12,1,20.9,59.9,3,335,3886
1.13,1,20.8,58.6,6,291,3885
1.15,1,21.1,61.4,0,303,3885
1.17,1,21.0,61.7,0,294,3885
1.18,1,21.2,58.3,8,304,3885
1.20,1,20.9,59.7,0,315,3885
1.22,1,20.8,59.7,7,320,3884
1.23,1,20.9,60.8,0,308,3884
1.25,1,21.0,58.9,4,329,3884
1.27,1,20.8,59.7,0,306,3884
1.28,1,20.7,60.6,0,319,3883
1.30,1,20.8,58.5,0,325,3883
1.32,1,20.9,60.5,0,305,3883
1.33,1,20.7,62.1,0,319,3883
1.35,1,21.0,62.1,0,304,3883
1.37,1,21.1,60.8,0,314,3882
1.38,1,20.6,60.5,0,303,3882
1.40,1,20.8,58.7,11,313,3882
1.42,1,20.7,59.4,0,318,3882
1.43,1,21.0,59.8,10,317,3882
1.45,1,21.0,59.1,0,304,3881
1.47,1,21.0,60.2,0,305,3881
1.48,1,20.9,60.2,0,321,3881
1.50,1,20.9,59.5,0,322,3881
1.52,1,20.9,59.4,0,311,3881
1.53,1,20.8,60.2,1,313,3880
1.55,1,20.7,60.4,1,325,3880
1.57,1,20.9,60.7,3,297,3880
1.58,1,21.1,61.1,1,334,3880
1.60,1,20.6,60.4,0,310,3880
1.62,1,20.9,60.2,13,318,3879
1.63,1,20.8,59.1,3,321,3879
1.65,1,20.8,59.8,5,336,3879
1.67,1,20.7,59.5,0,286,3878
1.68,1,21.1,60.4,0,331,3878
1.70,1,20.9,60.6,5,337,3878
1.72,1,21.0,60.9,0,333,3878
1.73,1,20.9,59.9,1,319,3878
1.75,1,20.8,59.7,0,335,3877
1.77,1,20.8,60.3,0,335,3877
1.78,1,21.0,59.4,8,336,3877
1.80,1,20.8,60.2,0,323,3877
1.82,1,21.0,59.5,7,313,3877
1.83,1,21.3,62.3,0,343,3876
1.85,1,20.8,60.1,3,295,3876
1.87,1,21.1,59.0,0,329,3876
1.88,1,21.0,58.9,0,336,3876
1.90,1,20.8,59.5,0,296,3876
1.92,1,20.9,63.0,7,330,3875
1.93,1,20.9,59.5,9,330,3875
1.95,1,21.2,62.0,4,289,3875
1.97,1,20.9,60.5,5,294,3875
1.98,1,20.8,59.6,0,285,3875
2.00,1,21.0,61.3,15,292,3874
2.02,1,20.8,59.3,0,325,3874
2.03,1,21.0,59.8,0,311,3874
2.05,1,20.7,59.9,14,339,3874
2.07,1,20.8,61.7,0,315,3873
2.08,1,20.9,59.8,0,354,3873
2.10,1,20.9,60.6,5,316,3873
2.12,1,21.0,60.1,12,321,3873
2.13,1,21.2,57.6,0,329,3873
2.15,1,21.2,58.1,6,310,3872
2.17,1,20.8,57.4,0,310,3872
2.18,1,21.0,61.8,0,308,3872
2.20,1,20.8,60.5,0,319,3872
2.22,1,21.1,59.8,2,329,3872
2.23,1,21.1,60.4,3,298,3871
2.25,1,20.9,60.2,0,321,3871
2.27,1,20.7,59.6,0,321,3871
2.28,1,21.0,59.1,0,358,3871
2.30,1,20.9,58.9,6,312,3871
2.32,1,20.8,58.8,0,298,3870
2.33,1,21.0,59.7,0,331,3870
2.35,1,20.9,58.8,5,302,3870
2.37,1,21.2,60.2,9,334,3870
2.38,1,20.9,62.9,6,318,3870
2.40,1,21.1,59.3,0,320,3869
2.42,1,21.2,60.3,6,333,3869
2.43,1,21.1,60.2,1,306,3869
2.45,1,21.0,60.8,0,315,3869
2.47,1,21.0,58.5,0,305,3868
2.48,1,21.1,58.6,1,337,3868
2.50,1,21.3,59.6,5,321,3868
2.52,1,20.8,61.1,0,322,3868
2.53,1,21.0,60.8,0,312,3868
2.55,1,21.1,60.7,1,335,3867
2.57,1,20.9,59.6,9,337,3867
2.58,1,20.8,61.4,0,314,3867
2.60,1,21.2,59.3,3,310,3867
2.62,1,21.0,59.2,0,320,3867
2.63,1,20.9,61.2,1,338,3866
2.65,1,21.3,58.8,6,347,3866
2.67,1,20.7,58.7,5,331,3866
2.68,1,21.1,60.6,0,286,3866
2.70,1,20.8,61.0,0,325,3866
2.72,1,20.9,57.9,0,317,3865
2.73,1,21.0,61.1,0,328,3865
2.75,1,20.9,59.5,0,306,3865
2.77,1,20.9,60.3,0,325,3865
2.78,1,21.3,60.2,14,310,3865
2.80,1,21.1,59.8,0,292,3864
2.82,1,20.7,60.2,0,316,3864
2.83,1,20.8,57.7,0,305,3864
2.85,1,20.9,60.5,0,315,3864
2.87,1,21.1,61.8,1,305,3863
2.88,1,21.0,60.7,0,290,3863
2.90,1,21.2,59.3,0,299,3863
2.92,1,21.4,61.1,0,313,3863
2.93,1,20.9,58.9,7,314,3863
2.95,1,20.8,58.9,0,310,3862
2.97,1,21.3,61.1,0,337,3862
2.98,1,20.9,59.5,0,283,3862
3.00,1,21.0,59.4,1,316,3862
3.02,1,20.7,59.7,0,323,3862
3.03,1,20.9,60.6,2,350,3861
3.05,1,20.8,60.0,20,302,3861
3.07,1,21.0,59.0,0,331,3861
3.08,1,21.0,58.2,0,317,3861
3.10,1,21.1,60.2,2,318,3861
3.12,1,21.2,58.3,10,308,3860
3.13,1,21.0,59.8,0,308,3860
3.15,1,21.0,57.2,0,329,3860
3.17,1,21.0,61.7,2,312,3860
3.18,1,21.4,61.1,1,329,3860
3.20,1,20.9,59.6,0,321,3859
3.22,1,21.0,59.4,0,335,3859
3.23,1,21.0,57.6,0,320,3859
3.25,1,21.0,59.6,4,316,3859
3.27,1,20.9,61.4,0,323,3858
3.28,1,21.0,59.4,0,291,3858
3.30,1,21.0,58.8,1,333,3858
3.32,1,21.2,60.9,9,317,3858
3.33,1,21.2,57.8,1,314,3858
3.35,1,21.0,57.4,0,333,3857
3.37,1,21.1,59.2,0,316,3857
3.38,1,21.4,59.4,0,298,3857
3.40,1,21.3,59.7,0,338,3857
3.42,1,21.0,59.0,2,337,3857
3.43,1,21.3,61.0,5,318,3856
3.45,1,21.1,60.5,0,341,3856
3.47,1,21.2,60.5,8,283,3856
3.48,1,21.1,58.2,1,312,3856
3.50,1,21.4,58.8,0,326,3856
3.52,1,21.3,58.7,0,331,3855
3.53,1,21.2,59.2,22,340,3855
3.55,1,21.1,60.2,7,324,3855
3.57,1,21.1,59.9,4,326,3855
3.58,1,21.4,59.5,0,298,3855
3.60,1,21.0,60.7,4,335,3854
3.62,1,21.1,59.3,1,319,3854
3.63,1,20.9,59.5,0,332,3854
3.65,1,21.3,57.3,8,329,3854
3.67,1,20.8,58.3,1,324,3853
3.68,1,21.0,60.9,14,316,3853
3.70,1,21.3,62.4,5,328,3853
3.72,1,21.4,57.7,0,333,3853
3.73,1,21.3,58.2,0,309,3853
3.75,1,21.0,58.5,0,295,3852
3.77,1,21.3,61.5,0,333,3852
3.78,1,21.2,61.1,0,300,3852
3.80,1,21.3,57.4,0,328,3852
3.82,1,21.3,59.7,0,326,3852
3.83,1,20.9,58.7,6,287,3851
3.85,1,21.1,60.2,9,322,3851
3.87,1,21.3,58.1,0,330,3851
3.88,1,21.1,60.7,12,319,3851
3.90,1,21.2,56.3,0,305,3851
3.92,1,21.2,61.3,10,338,3850
3.93,1,21.2,60.0,0,300,3850
3.95,1,21.5,58.0,1,302,3850
3.97,1,21.5,61.7,3,330,3850
3.98,1,21.4,59.2,2,311,3850
4.00,1,21.0,58.3,0,305,3849
4.02,1,21.4,57.1,0,331,3849
4.03,1,21.4,58.4,11,342,3849
4.05,1,20.9,62.0,12,322,3849
4.07,1,21.3,57.0,0,323,3848
4.08,1,21.3,61.6,0,291,3848
4.10,1,21.5,57.6,4,304,3848
4.12,1,21.3,58.1,6,311,3848
4.13,1,21.3,57.7,0,314,3847
4.15,1,21.5,58.2,0,344,3847
4.17,1,21.6,59.6,11,330,3847
4.18,1,21.2,60.1,13,331,3847
4.20,1,21.3,59.1,0,310,3847
4.22,1,21.4,59.2,0,337,3846
4.23,1,21.3,58.5,4,294,3846
4.25,1,21.8,56.3,8,318,3846
4.27,1,21.2,58.7,12,313,3846
4.28,1,21.3,60.4,0,300,3846
4.30,1,21.4,55.3,0,313,3845
4.32,1,21.2,57.2,211,343,3845
4.33,1,21.3,58.4,10,320,3845
4.35,1,21.4,57.7,15,348,3845
4.37,1,21.4,59.3,5,309,3845
4.38,1,21.2,56.8,6,325,3844
4.40,1,21.5,58.4,17,314,3844
4.42,1,21.5,57.3,0,289,3844
4.43,1,21.4,57.8,0,319,3844
4.45,1,21.3,59.1,0,340,3843
4.47,1,21.4,59.6,0,323,3843
4.48,1,21.1,57.3,0,306,3843
4.50,1,21.5,57.2,1,308,3843
4.52,1,21.7,58.6,0,306,3843
4.53,1,21.5,59.3,0,337,3842
4.55,1,21.5,56.9,0,352,3842
4.57,1,21.4,57.5,0,322,3842
4.58,1,21.5,59.9,2,298,3842
4.60,1,21.5,57.8,0,314,3842
4.62,1,21.5,57.8,3,306,3841
4.63,1,21.6,57.6,0,319,3841
4.65,1,21.4,59.9,6,331,3841
4.67,1,21.3,56.5,0,312,3841
4.68,1,21.2,58.6,0,313,3841
4.70,1,21.4,56.8,0,328,3840
4.72,1,21.5,56.9,3,338,3840
4.73,1,21.5,58.3,8,335,3840
4.75,1,21.8,59.4,0,322,3840
4.77,1,21.5,57.5,6,329,3840
4.78,1,21.6,55.2,0,308,3839
4.80,1,21.3,58.7,0,292,3839
4.82,1,21.6,58.8,0,353,3839
4.83,1,21.5,57.5,0,345,3839
4.85,1,21.4,59.2,8,337,3838
4.87,1,21.6,56.1,0,309,3838
4.88,1,21.7,57.0,6,327,3838
4.90,1,21.7,59.4,0,335,3838
4.92,1,21.5,57.2,0,321,3838
4.93,1,21.8,55.8,3,326,3837
4.95,1,21.6,56.5,7,287,3837
4.97,1,21.6,57.2,0,302,3837
4.98,1,21.7,54.8,6,304,3837
5.00,1,21.7,55.7,14,323,3837
5.02,1,21.9,57.0,8,336,3836
5.03,1,21.7,59.8,2,353,3836
5.05,1,21.6,58.4,0,338,3836
5.07,1,21.6,57.7,0,328,3836
5.08,1,21.7,56.9,0,301,3836
5.10,1,21.7,56.6,0,325,3835
5.12,1,21.8,58.7,8,315,3835
5.13,1,21.9,57.7,8,337,3835
5.15,1,21.9,57.9,3,323,3835
5.17,1,21.7,59.4,0,318,3835
5.18,1,22.1,56.9,0,315,3834
5.20,1,21.8,58.4,0,330,3834
5.22,1,21.7,57.9,2,319,3834
5.23,1,21.5,57.9,4,299,3834
5.25,1,21.9,58.4,11,332,3833
5.27,1,21.8,57.0,0,321,3833
5.28,1,21.8,57.5,0,319,3833
5.30,1,21.8,56.4,16,326,3833
5.32,1,22.2,57.5,0,324,3833
5.33,1,21.9,59.6,0,304,3832
5.35,1,21.8,56.9,7,303,3832
5.37,1,21.7,57.1,0,309,3832
5.38,1,21.8,57.6,12,318,3832
5.40,1,22.0,55.8,0,330,3832
5.42,1,21.9,57.3,0,328,3831
5.43,1,21.9,58.1,9,308,3831
5.45,1,22.1,56.0,0,312,3831
5.47,1,21.9,55.3,0,309,3831
5.48,1,22.0,57.8,0,307,3831
5.50,1,22.0,55.4,0,327,3830
5.52,1,22.2,56.1,0,323,3830
5.53,1,22.4,56.8,0,321,3830
5.55,1,21.8,56.2,2,306,3830
5.57,1,21.9,56.1,0,329,3830
5.58,1,22.0,57.5,0,303,3829
5.60,1,22.2,56.9,0,334,3829
5.62,1,22.1,58.1,0,320,3829
5.63,1,21.8,57.7,10,299,3829
5.65,1,21.9,53.7,6,312,3828
5.67,1,22.1,55.6,0,308,3828
5.68,1,22.0,55.9,13,332,3828
5.70,1,22.1,58.2,0,305,3828
5.72,1,21.9,56.0,4,310,3828
5.73,1,22.0,55.5,0,294,3827
5.75,1,22.1,55.5,0,348,3827
5.77,1,22.3,57.0,0,335,3827
5.78,1,22.0,55.9,8,349,3827
5.80,1,22.2,54.7,16,286,3827
5.82,1,22.1,58.5,0,328,3826
5.83,1,22.1,57.4,4,321,3826
5.85,1,22.0,57.6,0,334,3826
5.87,1,22.0,55.9,3,324,3826
5.88,1,22.1,56.4,0,322,3826
5.90,1,22.3,56.9,0,298,3825
5.92,1,22.5,55.4,0,325,3825
5.93,1,22.4,54.8,12,324,3825
5.95,1,22.3,54.9,0,319,3825
5.97,1,22.0,56.5,4,326,3825
5.98,1,22.3,56.9,4,291,3824
6.00,1,22.2,55.6,0,314,3824
6.02,1,22.3,54.1,11,316,3824
6.03,1,22.1,54.5,0,317,3824
6.05,1,22.2,54.7,1,329,3823
6.07,1,22.0,54.1,0,308,3823
